locus_tag,name,product,gene_type,contig,start,end,strand,protein_length,categories
ACWYRP_RS04910,aldo/keto reductase,,protein-coding,NZ_JBSROM010000012.1,42577,43551,plus,324,NAD-related
ACWYRP_RS05025,NAD-dependent DNA ligase LigA,,protein-coding,NZ_JBSROM010000013.1,21040,23082,minus,680,NAD-related
ACWYRP_RS05060,cytochrome d ubiquinol oxidase subunit II,,protein-coding,NZ_JBSROM010000013.1,30731,31744,minus,337,Cytochrome
ACWYRP_RS05065,cytochrome ubiquinol oxidase subunit I,,protein-coding,NZ_JBSROM010000013.1,31741,33219,minus,492,Cytochrome
ACWYRP_RS05295,NADH-dependent flavin oxidoreductase,,protein-coding,NZ_JBSROM010000014.1,36586,37830,plus,414,FAD-oxidoreductase; NAD-related
ACWYRP_RS05305,pyrroline-5-carboxylate reductase,,protein-coding,NZ_JBSROM010000014.1,38030,38797,minus,255,NAD-related
ACWYRP_RS05340,3-oxoacyl-ACP reductase,,protein-coding,NZ_JBSROM010000015.1,3925,4662,plus,245,NAD-related
ACWYRP_RS05370,D-isomer specific 2-hydroxyacid dehydrogenase family protein,,protein-coding,NZ_JBSROM010000015.1,9611,10549,plus,312,NAD-related
ACWYRP_RS05595,ferrochelatase,,protein-coding,NZ_JBSROM010000016.1,9916,10863,minus,315,Heme biosynthesis; Iron/ferr
ACWYRP_RS05730,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,,protein-coding,NZ_JBSROM010000017.1,1,984,plus,327,NAD-related
ACWYRP_RS05740,thioredoxin-disulfide reductase,,protein-coding,NZ_JBSROM010000017.1,1997,2950,plus,317,NAD-related
ACWYRP_RS05755,zinc-dependent alcohol dehydrogenase family protein,,protein-coding,NZ_JBSROM010000017.1,4171,5187,minus,338,NAD-related
ACWYRP_RS05970,FAD-dependent oxidoreductase,,protein-coding,NZ_JBSROM010000018.1,6004,7359,plus,451,FAD-oxidoreductase; NAD-related
ACWYRP_RS05990,FAD/NAD(P)-binding protein,,protein-coding,NZ_JBSROM010000018.1,9851,11701,minus,616,FAD-oxidoreductase; NAD-related
ACWYRP_RS06175,aldo/keto reductase,,protein-coding,NZ_JBSROM010000019.1,15053,15913,minus,286,NAD-related
ACWYRP_RS06200,N-acetyl-gamma-glutamyl-phosphate reductase,,protein-coding,NZ_JBSROM010000019.1,19572,20612,minus,346,NAD-related
ACWYRP_RS06365,nitroreductase family protein,,protein-coding,NZ_JBSROM010000020.1,17095,17838,plus,247,NAD-related
ACWYRP_RS06435,D-2-hydroxyacid dehydrogenase,,protein-coding,NZ_JBSROM010000020.1,29702,30697,plus,331,NAD-related
ACWYRP_RS06515,aspartate-semialdehyde dehydrogenase,,protein-coding,NZ_JBSROM010000021.1,16993,18087,minus,364,NAD-related
ACWYRP_RS06525,NAD(P)H-hydrate epimerase,,protein-coding,NZ_JBSROM010000021.1,19601,20266,plus,221,NAD-related
ACWYRP_RS06670,UDP-N-acetylmuramate dehydrogenase,,protein-coding,NZ_JBSROM010000022.1,19044,19922,plus,292,NAD-related
ACWYRP_RS06895,nitroreductase family protein,,protein-coding,NZ_JBSROM010000024.1,1182,1742,plus,186,NAD-related
ACWYRP_RS06900,NAD(P)-dependent oxidoreductase,,protein-coding,NZ_JBSROM010000024.1,1767,2417,plus,216,FAD-oxidoreductase; NAD-related
ACWYRP_RS07240,anaerobic ribonucleoside-triphosphate reductase activating protein,,protein-coding,NZ_JBSROM010000026.1,1228,1809,minus,193,NAD-related
ACWYRP_RS07245,anaerobic ribonucleoside-triphosphate reductase,,protein-coding,NZ_JBSROM010000026.1,1745,3955,minus,736,NAD-related
ACWYRP_RS07255,ammonia-dependent NAD(+) synthetase,,protein-coding,NZ_JBSROM010000026.1,5689,6510,plus,273,NAD-related
ACWYRP_RS07320,histidinol dehydrogenase,,protein-coding,NZ_JBSROM010000026.1,15681,16958,minus,425,NAD-related
ACWYRP_RS07515,NAD-dependent epimerase/dehydratase family protein,,protein-coding,NZ_JBSROM010000028.1,458,1099,minus,213,NAD-related
ACWYRP_RS08010,methylenetetrahydrofolate reductase,,protein-coding,NZ_JBSROM010000032.1,8103,8996,minus,297,NAD-related
ACWYRP_RS08200,3-phosphoglycerate dehydrogenase family protein,,protein-coding,NZ_JBSROM010000034.1,13136,14314,minus,392,NAD-related
ACWYRP_RS08220,oxidoreductase,,protein-coding,NZ_JBSROM010000035.1,758,1942,plus,394,FAD-oxidoreductase; NAD-related
ACWYRP_RS08265,NAD(P)/FAD-dependent oxidoreductase,,protein-coding,NZ_JBSROM010000035.1,7936,9606,plus,556,FAD-oxidoreductase; NAD-related
ACWYRP_RS08465,oxidoreductase,,protein-coding,NZ_JBSROM010000038.1,511,1374,minus,287,FAD-oxidoreductase; NAD-related
ACWYRP_RS08470,D-2-hydroxyacid dehydrogenase,,protein-coding,NZ_JBSROM010000038.1,1677,2636,plus,319,NAD-related
ACWYRP_RS08490,aldo/keto reductase,,protein-coding,NZ_JBSROM010000038.1,4331,5209,minus,292,NAD-related
ACWYRP_RS08580,isocitrate/isopropylmalate family dehydrogenase,,protein-coding,NZ_JBSROM010000039.1,10869,11798,plus,309,NAD-related
ACWYRP_RS08640,D-2-hydroxyacid dehydrogenase,,protein-coding,NZ_JBSROM010000040.1,10903,11892,plus,329,NAD-related
ACWYRP_RS08680,alcohol dehydrogenase AdhP,,protein-coding,NZ_JBSROM010000041.1,5266,6318,minus,350,NAD-related
ACWYRP_RS08715,phosphoglycerate dehydrogenase,,protein-coding,NZ_JBSROM010000042.1,1390,2334,plus,314,NAD-related
ACWYRP_RS08815,NADH-dependent flavin oxidoreductase,,protein-coding,NZ_JBSROM010000044.1,314,1504,plus,396,FAD-oxidoreductase; NAD-related
ACWYRP_RS09035,aldo/keto reductase,,protein-coding,NZ_JBSROM010000047.1,1550,2392,plus,280,NAD-related
ACWYRP_RS09560,NAD(P)-binding oxidoreductase,,protein-coding,NZ_JBSROM010000064.1,2267,2902,plus,211,FAD-oxidoreductase; NAD-related
ACWYRP_RS09585,alkyl hydroperoxide reductase subunit C,,protein-coding,NZ_JBSROM010000066.1,135,704,plus,189,NAD-related
ACWYRP_RS09590,FAD-dependent oxidoreductase,,protein-coding,NZ_JBSROM010000066.1,715,2424,plus,569,FAD-oxidoreductase; NAD-related
ACWYRP_RS09640,FAD-dependent oxidoreductase,,protein-coding,NZ_JBSROM010000069.1,1459,2793,minus,444,FAD-oxidoreductase; NAD-related
ACWYRP_RS09750,dTDP-4-dehydrorhamnose reductase,,protein-coding,NZ_JBSROM010000074.1,1305,2097,minus,263,NAD-related
ACWYRP_RS10055,FAD-dependent oxidoreductase,,protein-coding,NZ_JBSROM010000098.1,472,866,plus,131,FAD-oxidoreductase; NAD-related
