"Title","URL","Description","h1 headings","h2 headings","h3 headings","h4 headings","Title length","Description length","Response time","Content","Link count","Word count","Possible duplicates","Internal backlinks","Last modified","Robots","Canonical","Image count","Image weight","Depth","Internal links","External links","Redirects to here"
"As Number - Createwithplay","https://docs.createwithplay.com/en/articles/as-number","An expression editor function that converts an object to a number type.","As Number","Overview, Parameters, Example","","","26","71","0.74130 s","332kb","35","197","","14","","","https://docs.createwithplay.com/en/articles/as-number","7","15kb","2","93","0","0"
"As SVG - Createwithplay","https://docs.createwithplay.com/en/articles/as-svg","An expression editor function that casts an object as an SVG element.","As SVG","Overview, Parameters","","","23","69","0.69244 s","324kb","35","190","","14","","","https://docs.createwithplay.com/en/articles/as-svg","7","15kb","2","93","0","0"
"As Symbol - Createwithplay","https://docs.createwithplay.com/en/articles/as-symbol","An expression editor function that casts an object as an SF Symbol element.","As Symbol","Overview, Parameters","","","26","75","0.55406 s","324kb","35","192","","14","","","https://docs.createwithplay.com/en/articles/as-symbol","7","15kb","2","92","0","0"
"Auto - Createwithplay","https://docs.createwithplay.com/en/articles/auto","An expression editor function that applies an auto value an object's height or width.","Auto","Overview, Parameters","","","21","85","0.81479 s","332kb","51","197","","30","","","https://docs.createwithplay.com/en/articles/auto","7","15kb","2","109","0","0"
"As Text - Createwithplay","https://docs.createwithplay.com/en/articles/as-text","An expression editor function that casts an object as a text element.","As Text","Overview, Parameters","","","24","69","0.98541 s","323kb","35","189","","14","","","https://docs.createwithplay.com/en/articles/as-text","7","15kb","2","87","0","0"
"Base 64 String - Createwithplay","https://docs.createwithplay.com/en/articles/base-64-string","An expression editor function that encodes a string in base64 format.","Base 64 String","Overview, Parameters, Example","","","31","69","1.02963 s","341kb","54","240","","33","","","https://docs.createwithplay.com/en/articles/base-64-string","7","15kb","2","98","0","0"
"Blend Color - Createwithplay","https://docs.createwithplay.com/en/articles/blend-color","An expression editor function that blends two colors based on a percentage.","Blend Color","Overview, Parameters, Example","","","28","75","0.85554 s","335kb","38","231","","17","","","https://docs.createwithplay.com/en/articles/blend-color","7","15kb","2","96","0","0"
"Calculate Luminance - Createwithplay","https://docs.createwithplay.com/en/articles/calculate-luminance","An expression editor function that calculates the luminance value of a color.","Calculate Luminance","Overview, Parameters, Example","","","36","77","0.57664 s","339kb","38","211","","17","","","https://docs.createwithplay.com/en/articles/calculate-luminance","7","15kb","2","87","0","0"
"Contains Emoji - Createwithplay","https://docs.createwithplay.com/en/articles/contains-emoji","An expression editor function that checks if a string contains any emoji characters.","Contains Emoji","Overview, Parameters, Example","","","31","84","0.67083 s","341kb","54","235","","33","","","https://docs.createwithplay.com/en/articles/contains-emoji","7","15kb","2","102","0","0"
"Current Media Time - Createwithplay","https://docs.createwithplay.com/en/articles/current-media-time","An expression editor function that returns the current absolute time.","Current Media Time","Overview, Parameters","","","35","69","0.82600 s","320kb","29","163","","8","","","https://docs.createwithplay.com/en/articles/current-media-time","7","15kb","2","83","0","0"
"Cos - Createwithplay","https://docs.createwithplay.com/en/articles/cos","An expression editor function that calculates the cosine of an angle.","Cos","Overview, Parameters, Example","","","20","69","0.82279 s","338kb","51","199","","30","","","https://docs.createwithplay.com/en/articles/cos","7","15kb","2","95","0","0"
"Distance (Values) - Createwithplay","https://docs.createwithplay.com/en/articles/distance-between-values","An expression editor function that calculates the absolute difference between two numbers.","Distance (Values)","Overview, Parameters, Example","","","34","90","0.92895 s","339kb","54","241","","33","","","https://docs.createwithplay.com/en/articles/distance-between-values","7","15kb","2","78","0","0"
"Dictionary - Createwithplay","https://docs.createwithplay.com/en/articles/dictionary","An expression editor function that creates a new empty dictionary.","Dictionary","Overview, Parameters","","","27","66","1.49454 s","329kb","54","212","","33","","","https://docs.createwithplay.com/en/articles/dictionary","7","15kb","2","79","0","0"
"Decode JSON - Createwithplay","https://docs.createwithplay.com/en/articles/decode-json","An expression editor function that converts JSON strings back to usable data structures.","Decode JSON","Overview, Parameters, Example","","","28","88","0.85986 s","341kb","54","241","","33","","","https://docs.createwithplay.com/en/articles/decode-json","7","15kb","2","98","0","0"
"Delay - Createwithplay","https://docs.createwithplay.com/en/articles/delay","A helper that applies a delay to multiple actions at once.","Delay","Overview, Delay Properties, Resources, Learn Interactions 2.0","Time","","22","58","0.94432 s","313kb","27","178","","12","","","https://docs.createwithplay.com/en/articles/delay","7","15kb","2","85","0","0"
"Equations - Createwithplay","https://docs.createwithplay.com/en/articles/equations","","Equations","","","","26","0","0.57273 s","313kb","26","207","","96","","","https://docs.createwithplay.com/en/articles/equations","7","15kb","2","83","0","0"
"Fill - Createwithplay","https://docs.createwithplay.com/en/articles/fill","An expression editor function that applies a fill value an object's height or width.","Fill","Overview, Parameters","","","21","84","0.91735 s","329kb","51","190","","30","","","https://docs.createwithplay.com/en/articles/fill","7","15kb","2","87","0","0"
"Get All Descendent Views - Createwithplay","https://docs.createwithplay.com/en/articles/get-all-descendent-views","An expression editor function that returns all nested child views in a hierarchy.","Get All Descendent Views","Overview, Parameters","","","41","81","0.73840 s","332kb","54","236","","33","","","https://docs.createwithplay.com/en/articles/get-all-descendent-views","7","15kb","2","88","0","0"
"Get User Default - Createwithplay","https://docs.createwithplay.com/en/articles/get-user-default","An expression editor function that retrieves stored data from UserDefaults.","Get User Default","Overview, Parameters, Example","","","33","75","2.31137 s","339kb","54","242","","33","","","https://docs.createwithplay.com/en/articles/get-user-default","7","15kb","2","85","0","0"
"Get Subviews - Createwithplay","https://docs.createwithplay.com/en/articles/get-subviews","An expression editor function that returns an array of direct child views.","Get Subviews","Overview, Parameters","","","29","74","0.83205 s","334kb","54","227","","33","","","https://docs.createwithplay.com/en/articles/get-subviews","7","15kb","2","110","0","0"
"HSB To HSL - Createwithplay","https://docs.createwithplay.com/en/articles/hsb-to-hsl","An expression editor function that converts HSB color values to HSL color space.","HSB To HSL","Overview, Parameters (Return Color), Parameters (Return Array)","","","27","80","1.44305 s","332kb","38","237","","17","","","https://docs.createwithplay.com/en/articles/hsb-to-hsl","7","15kb","2","73","0","0"
"HEX - Createwithplay","https://docs.createwithplay.com/en/articles/hex","An expression editor function that creates a color from a hexadecimal color code.","HEX","Overview, Parameters, Example","","","20","81","1.74750 s","329kb","38","201","","17","","","https://docs.createwithplay.com/en/articles/hex","7","15kb","2","61","0","0"
"HSL To HSB - Createwithplay","https://docs.createwithplay.com/en/articles/hsl-to-hsb","An expression editor function that converts HSL color values to HSB color space.","HSL To HSB","Overview, Parameters (Return Color), Parameters (Return Array)","","","27","80","0.94524 s","332kb","38","237","","17","","","https://docs.createwithplay.com/en/articles/hsl-to-hsb","7","15kb","2","69","0","0"
"HSBA - Createwithplay","https://docs.createwithplay.com/en/articles/hsba","An expression editor function that creates colors using hue, saturation, brightness, and alpha values.","HSBA","Overview, Parameters (Return Color), Parameters (Return Array)","","","21","102","0.64292 s","332kb","38","240","","17","","","https://docs.createwithplay.com/en/articles/hsba","7","15kb","2","71","0","0"
"HSL To RGB - Createwithplay","https://docs.createwithplay.com/en/articles/hsl-to-rgb","An expression editor function that converts HSL color values to RGB color space.","HSL To RGB","Overview, Parameters (Return Color), Parameters (Return Array)","","","27","80","0.81755 s","335kb","38","237","","17","","","https://docs.createwithplay.com/en/articles/hsl-to-rgb","7","15kb","2","96","0","0"
"HSLA - Createwithplay","https://docs.createwithplay.com/en/articles/hsla","An expression editor function that creates colors using hue, saturation, lightness, and alpha values.","HSLA","Overview, Parameters (Return Color), Parameters (Return Array)","","","21","101","0.51332 s","334kb","38","238","","17","","","https://docs.createwithplay.com/en/articles/hsla","7","15kb","2","83","0","0"
"HSB To RGB - Createwithplay","https://docs.createwithplay.com/en/articles/hsb-to-rgb","An expression editor function that converts HSB color values to RGB color space.","HSB To RGB","Overview, Parameters (Return Color), Parameters (Return Array)","","","27","80","1.19873 s","332kb","38","237","","17","","","https://docs.createwithplay.com/en/articles/hsb-to-rgb","7","15kb","2","71","0","0"
"Hypotenuse - Createwithplay","https://docs.createwithplay.com/en/articles/hypotenuse","An expression editor function that calculates the hypotenuse of a right triangle.","Hypotenuse","Overview, Parameters, Example","","","27","81","0.65016 s","340kb","51","220","","30","","","https://docs.createwithplay.com/en/articles/hypotenuse","7","15kb","2","99","0","0"
"Image Shuffle - Createwithplay","https://docs.createwithplay.com/en/articles/image-shuffle","An expression editor function that returns a random image from your project assets.","Image Shuffle","Overview, Parameters","","","30","83","0.84374 s","333kb","54","215","","33","","","https://docs.createwithplay.com/en/articles/image-shuffle","7","15kb","2","104","0","0"
"Is Emoji - Createwithplay","https://docs.createwithplay.com/en/articles/is-emoji","An expression editor function that checks if a string is an emoji.","Is Emoji","Overview, Parameters, Example","","","25","66","0.55697 s","341kb","54","232","","33","","","https://docs.createwithplay.com/en/articles/is-emoji","7","15kb","2","105","0","0"
"! (Inverse) - Createwithplay","https://docs.createwithplay.com/en/articles/inverse","An expression editor function that returns the inverse of a variable or property.","! (Inverse)","Overview, Parameters, Example","","","28","81","0.59520 s","343kb","54","241","","33","","","https://docs.createwithplay.com/en/articles/inverse","7","15kb","2","112","0","0"
"Int - Createwithplay","https://docs.createwithplay.com/en/articles/int","An expression editor function that casts an number as an integer.","Int","Overview, Parameters","","","20","65","1.27881 s","327kb","51","196","","30","","","https://docs.createwithplay.com/en/articles/int","7","15kb","2","75","0","0"
"JSON String - Createwithplay","https://docs.createwithplay.com/en/articles/json-string","An expression editor function that converts a dictionary to JSON format.","JSON String","Overview, Parameters, Example","","","28","72","0.77408 s","339kb","54","235","","33","","","https://docs.createwithplay.com/en/articles/json-string","7","15kb","2","87","0","0"
"Local Time Since 1970s - Createwithplay","https://docs.createwithplay.com/en/articles/local-time-since-1970","An expression editor function that returns the current Unix timestamp.","Local Time Since 1970s","Overview, Parameters","","","39","70","0.55958 s","316kb","29","178","","8","","","https://docs.createwithplay.com/en/articles/local-time-since-1970","7","15kb","2","55","0","0"
"Is Empty - Createwithplay","https://docs.createwithplay.com/en/articles/is-empty","An expression editor function that checks if a string has 0 characters.","Is Empty","Overview, Parameters, Example","","","25","71","1.29067 s","334kb","33","215","","12","","","https://docs.createwithplay.com/en/articles/is-empty","7","15kb","2","63","0","0"
"Lowercase - Createwithplay","https://docs.createwithplay.com/en/articles/lowercase","An expression editor function that makes a string's characters lowercase.","Lowercase","Overview, Parameters, Example","","","26","73","0.54842 s","331kb","33","180","","12","","","https://docs.createwithplay.com/en/articles/lowercase","7","15kb","2","91","0","0"
"Max - Createwithplay","https://docs.createwithplay.com/en/articles/max","An expression editor function that returns the larger of two values.","Max","Overview, Parameters, Example","","","20","68","0.70991 s","342kb","51","230","","30","","","https://docs.createwithplay.com/en/articles/max","7","15kb","2","77","0","0"
"Number - Createwithplay","https://docs.createwithplay.com/en/articles/number","An expression editor function that converts a string to a number.","Number","Overview, Parameters, Example","","","23","65","0.82853 s","344kb","54","245","","33","","","https://docs.createwithplay.com/en/articles/number","7","15kb","2","110","0","0"
"Min - Createwithplay","https://docs.createwithplay.com/en/articles/min","An expression editor function that returns the smaller of two values.","Min","Overview, Parameters, Example","","","20","69","0.50722 s","346kb","51","230","","30","","","https://docs.createwithplay.com/en/articles/min","7","15kb","2","99","0","0"
"Page Loader - Createwithplay","https://docs.createwithplay.com/en/articles/page-loader","An element that loads in another page.","Page Loader","Overview, Properties, Resources, Page Loader Event, Set Page Loader","Page","","28","38","0.69573 s","324kb","57","237","","34","","","https://docs.createwithplay.com/en/articles/page-loader","7","15kb","2","83","0","0"
"Pi - Createwithplay","https://docs.createwithplay.com/en/articles/pi","An expression editor function that returns the mathematical constant pi.","Pi","Overview, Parameters, Example","","","19","72","0.64093 s","338kb","51","190","","30","","","https://docs.createwithplay.com/en/articles/pi","7","15kb","2","99","0","0"
"Percent - Createwithplay","https://docs.createwithplay.com/en/articles/percent","An expression editor function that calculates a percentage of a given number.","Percent","Overview, Parameters, Example","","","24","77","0.61614 s","341kb","51","213","","30","","","https://docs.createwithplay.com/en/articles/percent","7","15kb","2","109","0","0"
"Pow (Power) - Createwithplay","https://docs.createwithplay.com/en/articles/pow-power","An expression editor function that raises a number to a specified power.","Pow (Power)","Overview, Parameters, Example","","","28","72","0.79279 s","339kb","51","233","","30","","","https://docs.createwithplay.com/en/articles/pow-power","7","15kb","2","85","0","0"
"Blend Color Children - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-blend-color-children","","Blend Color Children","Overview, Controls","Color A, Color B","","37","0","0.76018 s","315kb","25","227","","9","","","https://docs.createwithplay.com/en/articles/prefab-blend-color-children","7","15kb","2","51","0","0"
"Circular Grid - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-circular-grid","A prefab that lays out objects in a circle.","Circular Grid","Overview, Controls","Start, End, Radius","","30","43","0.62185 s","330kb","27","220","","11","","","https://docs.createwithplay.com/en/articles/prefab-circular-grid","7","15kb","2","47","0","0"
"Get Image Colors - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-get-image-colors","","Get Image Colors","Overview, Controls, Using Get Image Colors Prefabs","","","33","0","0.55217 s","329kb","25","226","","9","","","https://docs.createwithplay.com/en/articles/prefab-get-image-colors","7","15kb","2","68","0","0"
"Grid - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-grid","A prefab that lays out objects in a grid.","Grid","Overview, Controls","Columns, Spacing, Auto Height","","21","41","0.69028 s","322kb","27","218","","11","","","https://docs.createwithplay.com/en/articles/prefab-grid","7","15kb","2","71","0","0"
"Grid (Auto Spacing) - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-grid-auto-spacing","A prefab that lays out objects in a grid with auto spacing.","Grid (Auto Spacing)","Overview, Controls","Columns, Auto Height","","36","59","1.03718 s","320kb","27","217","","11","","","https://docs.createwithplay.com/en/articles/prefab-grid-auto-spacing","7","15kb","2","65","0","0"
"Elastic Header - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-elastic-header","A prefab that stretches a header.","Elastic Header","Overview, Controls, Resources, Elastic Header","Header, Stretch","","31","33","0.88128 s","324kb","30","231","","14","","","https://docs.createwithplay.com/en/articles/prefab-elastic-header","7","15kb","2","58","0","0"
"Grid (Fill Width) - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-grid-fill-width","A prefab that stretches objects in a grid.","Grid (Fill Width)","Overview, Controls","Columns, Spacing, Auto Height","","34","42","0.99362 s","324kb","27","224","","11","","","https://docs.createwithplay.com/en/articles/prefab-grid-fill-width","7","15kb","2","84","0","0"
"Make Sticky - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-make-sticky","A prefab that pins an object to the page as a user scrolls past.","Make Sticky","Overview, Controls","Target, Edge, Offset","","28","64","1.82709 s","324kb","26","247","","10","","","https://docs.createwithplay.com/en/articles/prefab-make-sticky","7","15kb","2","81","0","0"
"Scroll when Pin Selected - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-scroll-when-pin-selected","A prefab that scrolls a stack of cards based on a map's pin indexes.","Scroll when Pin Selected","Overview, Controls","Cards, Duration, Spring","","41","68","1.03340 s","319kb","23","248","","7","","","https://docs.createwithplay.com/en/articles/prefab-scroll-when-pin-selected","7","15kb","2","49","0","0"
"Set Pagination Dots - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-set-pagination-dots","A prefab that tracks scroll progress using indicator dots.","Set Pagination Dots","Overview, Controls, Resources, Pagination Dots","Dots, Active Opacity, Idle Opacity","","36","58","0.82614 s","326kb","30","231","","14","","","https://docs.createwithplay.com/en/articles/prefab-set-pagination-dots","7","15kb","2","54","0","0"
"Select Pin on Scroll - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-select-pin-on-scroll","A prefab that selects a map pin based on a scroll index.","Select Pin on Scroll","Overview, Controls","Map, Altitutde, Duration","","37","56","1.20614 s","318kb","23","238","","7","","","https://docs.createwithplay.com/en/articles/prefab-select-pin-on-scroll","7","15kb","2","48","0","0"
"Scroll Progress Bar - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-scroll-progress-bar","A prefab that create a progress bar on scroll.","Scroll Progress Bar","Overview, Controls, Resources, Hide Header","Progress Bar, Fill Direction","","36","46","0.81175 s","335kb","30","247","","14","","","https://docs.createwithplay.com/en/articles/prefab-scroll-progress-bar","7","15kb","2","51","0","0"
"Stagger Grid - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-stagger-grid","A prefab that lays out objects in a staggered grid.","Stagger Grid","Overview, Controls","Columns, Spacing, Auto Height","","29","51","0.83643 s","323kb","27","233","","11","","","https://docs.createwithplay.com/en/articles/prefab-stagger-grid","7","15kb","2","78","0","0"
"Toggle Tap - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-toggle-tap","A prefab that fires different actions on alternating taps.","Toggle Tap","Overview, Prefab Controls","First Tap, Second Tap, Haptic","","27","58","0.86377 s","320kb","23","234","","7","","","https://docs.createwithplay.com/en/articles/prefab-toggle-tap","7","15kb","2","64","0","0"
"Wrap - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-wrap","A prefab that wraps overflow items to the next line within a stack.","Wrap","Overview, Controls","Spacing H, Spacing V, Auto Height","","21","67","0.68253 s","320kb","27","221","","11","","","https://docs.createwithplay.com/en/articles/prefab-wrap","7","15kb","2","51","0","0"
"Project Appearance - Createwithplay","https://docs.createwithplay.com/en/articles/project-appearance","An expression editor function that returns the current UI appearance mode of the project.","Project Appearance","Overview, Parameters","","","35","89","0.68885 s","319kb","27","162","","6","","","https://docs.createwithplay.com/en/articles/project-appearance","7","15kb","2","80","0","0"
"Random Integer - Createwithplay","https://docs.createwithplay.com/en/articles/random-integer","An expression editor function that generates a random whole number within a range.","Random Integer","Overview, Parameters, Example","","","31","82","0.74982 s","342kb","51","230","","30","","","https://docs.createwithplay.com/en/articles/random-integer","7","15kb","2","104","0","0"
"Random - Createwithplay","https://docs.createwithplay.com/en/articles/random","An expression editor function that generates a random decimal number within a range.","Random","Overview, Parameters, Example","","","23","84","0.84722 s","342kb","51","228","","30","","","https://docs.createwithplay.com/en/articles/random","7","15kb","2","104","0","0"
"Remove User Default - Createwithplay","https://docs.createwithplay.com/en/articles/remove-user-default","An expression editor function that deletes stored data from UserDefaults.","Remove User Default","Overview, Parameters","","","36","73","0.63437 s","335kb","54","222","","33","","","https://docs.createwithplay.com/en/articles/remove-user-default","7","15kb","2","112","0","0"
"RGB To HSL - Createwithplay","https://docs.createwithplay.com/en/articles/rgb-to-hsl","An expression editor function that converts RGB color values to HSL color space.","RGB To HSL","Overview, Parameters (Return Color), Array Input (Return Array)","","","27","80","0.60165 s","335kb","38","241","","17","","","https://docs.createwithplay.com/en/articles/rgb-to-hsl","7","15kb","2","96","0","0"
"RGBA - Createwithplay","https://docs.createwithplay.com/en/articles/rgba","An expression editor function that creates colors using red, green, blue, and alpha values.","RGBA","Overview, Parameters, Array Input","","","21","91","0.81513 s","330kb","38","232","","17","","","https://docs.createwithplay.com/en/articles/rgba","7","15kb","2","60","0","0"
"RGB To HSB - Createwithplay","https://docs.createwithplay.com/en/articles/rgb-to-hsb","An expression editor function that converts RGB color values to HSB color space.","RGB To HSB","Overview, Parameters, Array Input","","","27","80","0.77596 s","330kb","38","231","","17","","","https://docs.createwithplay.com/en/articles/rgb-to-hsb","7","15kb","2","62","0","0"
"Round - Createwithplay","https://docs.createwithplay.com/en/articles/round","An expression editor function that rounds a number to the nearest whole number.","Round","Overview, Parameters, Example","","","22","79","1.30974 s","343kb","51","212","","30","","","https://docs.createwithplay.com/en/articles/round","7","15kb","2","81","0","0"
"Round Down - Createwithplay","https://docs.createwithplay.com/en/articles/round-down","An expression editor function that rounds a number down to the previous whole number.","Round Down","Overview, Parameters, Example","","","27","85","1.26561 s","338kb","51","209","","30","","","https://docs.createwithplay.com/en/articles/round-down","7","15kb","2","92","0","0"
"Round To - Createwithplay","https://docs.createwithplay.com/en/articles/round-to","An expression editor function that rounds a number to a specific number of decimal places.","Round To","Overview, Parameters, Example","","","25","90","0.95396 s","339kb","51","232","","30","","","https://docs.createwithplay.com/en/articles/round-to","7","15kb","2","90","0","0"
"Round Up - Createwithplay","https://docs.createwithplay.com/en/articles/round-up","An expression editor function that rounds a number up to the next whole number.","Round Up","Overview, Parameters, Example","","","25","79","0.91893 s","339kb","51","209","","30","","","https://docs.createwithplay.com/en/articles/round-up","7","15kb","2","100","0","0"
"Snapshot - Createwithplay","https://docs.createwithplay.com/en/articles/snapshot","An expression editor function that captures a screenshot of a view within the prototype.","Snapshot","Overview, Parameters","","","25","88","1.71498 s","336kb","55","239","","33","","","https://docs.createwithplay.com/en/articles/snapshot","7","15kb","2","112","0","0"
"Sin - Createwithplay","https://docs.createwithplay.com/en/articles/sin","An expression editor function that calculates the sine of an angle.","Sin","Overview, Parameters, Example","","","20","67","0.94653 s","337kb","51","203","","30","","","https://docs.createwithplay.com/en/articles/sin","7","15kb","2","85","0","0"
"Spacer - Createwithplay","https://docs.createwithplay.com/en/articles/spacer","An element that fills unused space.","Spacer","Overview, Resources, Apple Developer Documentation for Spacers","","","23","35","0.60697 s","321kb","54","243","","32","","","https://docs.createwithplay.com/en/articles/spacer","7","15kb","2","112","0","0"
"Square Root - Createwithplay","https://docs.createwithplay.com/en/articles/square-root","An expression editor function that calculates the square root of a number.","Square Root","Overview, Parameters, Example","","","28","74","1.39537 s","337kb","51","208","","30","","","https://docs.createwithplay.com/en/articles/square-root","7","15kb","2","86","0","0"
"String Height - Createwithplay","https://docs.createwithplay.com/en/articles/string-height","An expression editor function that calculates the height of a string.","String Height","Overview, Parameters","","","30","69","1.63485 s","329kb","52","220","","30","","","https://docs.createwithplay.com/en/articles/string-height","7","15kb","2","82","0","0"
"String Width - Createwithplay","https://docs.createwithplay.com/en/articles/string-width","An expression editor function that calculates the width of a string.","String Width","Overview, Parameters","","","29","68","1.02334 s","330kb","52","219","","30","","","https://docs.createwithplay.com/en/articles/string-width","7","15kb","2","87","0","0"
"String Count - Createwithplay","https://docs.createwithplay.com/en/articles/string-count","An expression editor function that counts the number of characters in a string.","String Count","Overview, Parameters, Example","","","29","79","1.65436 s","335kb","33","193","","12","","","https://docs.createwithplay.com/en/articles/string-count","7","15kb","2","72","0","0"
"Substring - Createwithplay","https://docs.createwithplay.com/en/articles/substring","An expression editor function that extracts a portion of a string.","Substring","Overview, Parameters, Example","","","26","66","1.50595 s","327kb","33","201","","12","","","https://docs.createwithplay.com/en/articles/substring","7","15kb","2","57","0","0"
"Tan - Createwithplay","https://docs.createwithplay.com/en/articles/tan","An expression editor function that calculates the tangent of an angle.","Tan","Overview, Parameters, Example","","","20","70","0.93293 s","340kb","51","201","","30","","","https://docs.createwithplay.com/en/articles/tan","7","15kb","2","109","0","0"
"Target - Createwithplay","https://docs.createwithplay.com/en/articles/target","A helper that selects a target for multiple actions at once.","Target","Overview, Target Properties","Target","","23","60","1.10570 s","318kb","27","166","","11","","","https://docs.createwithplay.com/en/articles/target","7","15kb","2","73","0","0"
"Text Shuffle - Createwithplay","https://docs.createwithplay.com/en/articles/text-shuffle","An expression editor function that returns random text generated by Play.","Text Shuffle","Overview, Parameters","","","29","73","0.65814 s","333kb","54","212","","33","","","https://docs.createwithplay.com/en/articles/text-shuffle","7","15kb","2","107","0","0"
"Time Since 1970 - Createwithplay","https://docs.createwithplay.com/en/articles/time-since-1970","An expression editor function that returns the current Unix timestamp.","Time Since 1970","Overview, Parameters","","","32","70","1.42948 s","316kb","29","173","","8","","","https://docs.createwithplay.com/en/articles/time-since-1970","7","15kb","2","53","0","0"
"Truncating Remainder - Createwithplay","https://docs.createwithplay.com/en/articles/truncating-remainder","An expression editor function that calculates the remainder after division.","Truncating Remainder","Overview, Parameters, Example","","","37","75","0.72403 s","341kb","51","223","","30","","","https://docs.createwithplay.com/en/articles/truncating-remainder","7","15kb","2","109","0","0"
"Uppercase - Createwithplay","https://docs.createwithplay.com/en/articles/uppercase","An expression editor function that makes a string's characters lowercase.","Uppercase","Overview, Parameters, Example","","","26","73","1.23805 s","327kb","33","180","","12","","","https://docs.createwithplay.com/en/articles/uppercase","7","15kb","2","59","0","0"
"Unsplash - Createwithplay","https://docs.createwithplay.com/en/articles/unsplash","An expression editor function that retrieves random images from Unsplash based on keywords.","Unsplash","Overview, Parameters, Example","","","25","91","1.15733 s","341kb","54","243","","33","","","https://docs.createwithplay.com/en/articles/unsplash","7","15kb","2","99","0","0"
"Play Update · Play","https://createwithplay.com/play-update-2","If you're designing a mobile app, we're building Play for you. Play combines a familiar design canvas with the power of Apple's native iOS elements and a new approach to interaction design that is easy, powerful, and native.","We're working on something new.","","","","18","224","1.06435 s","300kb","26","231","","25","1447-09-13","noindex","https://createwithplay.com/play-update-2","0","0kb","2","26","0","0"
